Date,Price,Open,High,Low,Vol.,Change %
3/30/2020,"24,048.00","24,125.80","24,826.30","23,892.40",1.72M,-6.36%
3/31/2020,"24,009.10","24,904.10","25,020.80","22,958.50",1.28M,-0.16%
4/1/2020,"24,981.90","24,048.00","25,682.30","23,970.20",1.50M,4.05%
4/3/2020,"26,694.10","25,371.00","26,694.10","25,371.00",1.95M,6.85%
4/6/2020,"28,561.90","27,783.60","28,561.90","27,316.70",2.37M,7.00%
4/7/2020,"28,795.40","29,184.50","29,340.10","28,017.10",2.26M,0.82%
4/8/2020,"29,534.70","27,861.50","29,573.60","27,316.70",1.83M,2.57%
4/9/2020,"29,340.10","29,534.70","30,040.60","29,301.20",1.70M,-0.66%
4/10/2020,"28,717.50","29,028.80","29,418.00","28,561.90",1.51M,-2.12%
4/13/2020,"28,912.10","28,561.90","29,340.10","28,484.10",1.33M,0.68%
4/14/2020,"28,406.20","28,834.30","29,223.40","27,861.50",1.53M,-1.75%
4/15/2020,"29,028.80","28,561.90","29,340.10","28,561.90",1.39M,2.19%
4/16/2020,"29,028.80","28,951.00","29,028.80","28,600.80",1.52M,0.00%
4/17/2020,"29,106.70","29,456.90","29,729.30","28,951.00",1.45M,0.27%
4/20/2020,"28,873.20","29,495.80","29,573.60","28,756.40",1.73M,-0.80%
4/21/2020,"27,005.40","28,017.10","28,639.70","27,005.40",2.82M,-6.47%
4/22/2020,"28,172.80","25,760.20","28,834.30","25,760.20",1.78M,4.32%
4/23/2020,"28,172.80","28,795.40","28,951.00","28,094.90",993.50K,0.00%
4/24/2020,"28,017.10","28,367.30","28,367.30","27,472.30",745.70K,-0.55%
4/27/2020,"27,316.70","28,172.80","28,328.40","27,316.70",1.52M,-2.50%
4/28/2020,"27,355.60","27,316.70","27,861.50","26,849.70",741.40K,0.14%
4/29/2020,"27,705.80","27,238.90","27,939.30","27,238.90",748.95K,1.28%
5/4/2020,"27,472.30","27,705.80","28,328.40","27,316.70",824.59K,-0.84%
5/5/2020,"27,472.30","27,472.30","27,861.50","27,394.50",537.86K,0.00%
5/6/2020,"28,017.10","27,589.10","28,017.10","27,472.30",929.84K,1.98%
5/7/2020,"29,223.40","28,250.60","29,262.30","28,250.60",3.18M,4.31%
5/8/2020,"29,573.60","29,534.70","30,585.30","29,223.40",3.22M,1.20%
5/11/2020,"29,962.70","29,962.70","30,351.90","29,534.70",1.52M,1.32%
5/12/2020,"30,001.60","29,807.10","30,079.50","29,534.70",2.07M,0.13%
5/13/2020,"30,818.80","29,807.10","30,974.50","29,418.00",3.43M,2.72%
5/14/2020,"30,896.60","30,351.90","31,519.20","30,351.90",2.51M,0.25%
5/15/2020,"30,040.60","30,974.50","31,207.90","29,884.90",2.40M,-2.77%
5/18/2020,"30,274.00","29,923.80","30,274.00","29,573.60",2.34M,0.78%
5/19/2020,"30,429.70","31,052.30","31,052.30","30,274.00",2.12M,0.51%
5/20/2020,"30,468.60","30,351.90","30,585.30","29,962.70",1.13M,0.13%
5/21/2020,"30,896.60","30,741.00","31,246.90","30,702.10",3.11M,1.40%
5/22/2020,"30,585.30","30,896.60","31,130.10","30,585.30",1.43M,-1.01%
5/25/2020,"30,857.70","30,585.30","30,974.50","30,351.90",1.12M,0.89%
5/26/2020,"32,686.60","30,935.60","32,686.60","30,935.60",3.72M,5.93%
5/27/2020,"30,974.50","33,270.30","33,270.30","30,974.50",2.88M,-5.24%
5/28/2020,"31,674.90","31,130.10","31,869.50","30,974.50",2.41M,2.26%
5/29/2020,"31,207.90","31,441.40","31,519.20","30,974.50",2.10M,-1.47%
6/1/2020,"32,258.60","31,363.60","32,336.40","31,324.70",1.39M,3.37%
6/2/2020,"31,558.20","32,297.50","32,608.80","31,519.20",1.88M,-2.17%
6/3/2020,"31,908.40","31,830.50","32,064.00","31,519.20",1.13M,1.11%
6/4/2020,"32,531.00","32,064.00","32,920.10","31,986.20",2.53M,1.95%
6/5/2020,"32,764.40","32,531.00","32,842.30","32,102.90",1.53M,0.72%
6/8/2020,"34,243.10","33,231.40","34,243.10","33,075.70",3.13M,4.51%
6/9/2020,"33,737.30","34,321.00","34,321.00","33,698.40",1.41M,-1.48%
6/10/2020,"33,854.00","33,542.70","34,321.00","33,075.70",1.63M,0.35%
6/11/2020,"31,519.20","33,854.00","34,009.70","31,519.20",3.00M,-6.90%
6/12/2020,"33,075.70","30,741.00","33,075.70","30,741.00",2.41M,4.94%
6/15/2020,"31,052.30","32,920.10","32,920.10","31,052.30",1.89M,-6.12%
6/16/2020,"31,674.90","32,297.50","32,375.30","31,519.20",1.21M,2.01%
6/17/2020,"31,363.60","31,674.90","31,986.20","31,013.40",1.03M,-0.98%
6/18/2020,"31,519.20","31,363.60","31,597.10","31,130.10",791.70K,0.50%
6/19/2020,"32,258.60","32,064.00","32,258.60","31,674.90",906.10K,2.35%
6/22/2020,"32,141.80","32,297.50","32,569.90","31,752.70",783.40K,-0.36%
6/23/2020,"31,674.90","31,947.30","32,180.80","31,519.20",1.40M,-1.45%
6/24/2020,"31,363.60","31,674.90","32,064.00","31,285.80",870.40K,-0.98%
6/25/2020,"31,130.10","31,130.10","31,324.70","30,974.50",995.90K,-0.74%
6/26/2020,"31,052.30","31,830.50","31,830.50","30,896.60",902.20K,-0.25%
6/29/2020,"29,962.70","30,585.30","30,741.00","29,884.90",1.68M,-3.51%
6/30/2020,"29,495.80","30,351.90","30,390.80","29,418.00",1.08M,-1.56%
7/1/2020,"30,507.50","29,495.80","30,663.20","29,495.80",967.60K,3.43%
7/2/2020,"30,351.90","30,702.10","30,702.10","30,118.40",630.70K,-0.51%
